Project,Package,Module,Smell,Class,Line no,File,Description
flask_app,flask_app,booking,Feature envy,booking,81,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Function 'get_availability_status' in module 'booking' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app,booking,Feature envy,booking,132,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Function 'get_user_bookings' in module 'booking' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app,booking,Feature envy,booking,575,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Function 'list_bookings' in module 'booking' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app,booking,Feature envy,booking,600,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Function 'create_booking_route' in module 'booking' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app,booking,Feature envy,booking,647,/Users/jashwanthnaidu/ASDC project/group01/flask_app/booking.py,Function 'cancel_booking_route' in module 'booking' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app,app,Feature envy,app,93,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Function 'send_notification' in module 'app' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `helper_firebase_notification`.
flask_app,flask_app,shop,Feature envy,shop,751,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Function 'get_shop_details' in module 'shop' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app,shop,Feature envy,shop,760,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Function 'get_shop_hours_route' in module 'shop' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app,shop,Feature envy,shop,776,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Function 'get_shop_catalog_route' in module 'shop' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app,shop,Feature envy,shop,788,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Function 'list_shop_items' in module 'shop' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app,shop,Feature envy,shop,840,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Function 'get_item_details' in module 'shop' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app,shop,Feature envy,shop,849,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Function 'list_shop_item_categories' in module 'shop' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `constants`.
flask_app,flask_app.tests,test_bookings,Multifaceted abstraction,TestBookingHelpers,37,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,"Class 'TestBookingHelpers' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_bookings,Multifaceted abstraction,TestGetBookingsAPI,104,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,"Class 'TestGetBookingsAPI' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_bookings,Multifaceted abstraction,TestCreateBookingAPI,169,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,"Class 'TestCreateBookingAPI' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_bookings,Multifaceted abstraction,TestCancelBookingAPI,324,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,"Class 'TestCancelBookingAPI' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_bookings,Feature envy,TestBookingHelpers,84,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_get_availability_status_in_stock' in class 'TestBookingHelpers' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestGetBookingsAPI,119,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_get_bookings_success' in class 'TestGetBookingsAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestGetBookingsAPI,148,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_get_bookings_filter_by_status' in class 'TestGetBookingsAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCreateBookingAPI,177,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_create_booking_requires_user_id' in class 'TestCreateBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCreateBookingAPI,186,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_create_booking_requires_item_and_shop' in class 'TestCreateBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCreateBookingAPI,195,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_create_booking_success' in class 'TestCreateBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCreateBookingAPI,228,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_create_booking_invalid_quantity' in class 'TestCreateBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCreateBookingAPI,252,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_create_booking_out_of_stock' in class 'TestCreateBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCreateBookingAPI,276,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_create_booking_item_not_found' in class 'TestCreateBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCreateBookingAPI,299,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_create_booking_already_reserved' in class 'TestCreateBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCancelBookingAPI,327,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_cancel_booking_requires_user_id' in class 'TestCancelBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCancelBookingAPI,332,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_cancel_booking_success' in class 'TestCancelBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCancelBookingAPI,357,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_cancel_booking_not_found' in class 'TestCancelBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCancelBookingAPI,378,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_cancel_booking_forbidden' in class 'TestCancelBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_bookings,Feature envy,TestCancelBookingAPI,399,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Method 'test_cancel_booking_already_cancelled' in class 'TestCancelBookingAPI' seems to access code elements that are outside of the class more than its internal to class members. It seems the method is more suitable in `test_constants`.
flask_app,flask_app.tests,test_shopping_component,Multifaceted abstraction,TestProductVariants,91,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py,"Class 'TestProductVariants' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_shopping_component,Multifaceted abstraction,TestTimeParsing,261,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py,"Class 'TestTimeParsing' has a high LCOM value of 1, indicating it may have multiple responsibilities."
