Project,Package,Module,Smell,Class,Line no,File,Description
flask_app,flask_app,app,Feature envy,app,49,/Users/jashwanthnaidu/ASDC project/group01/flask_app/app.py,Function 'send_notification' in module 'app' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `helper_firebase_notification`.
flask_app,flask_app.tests,test_bookings,Multifaceted abstraction,TestBookingHelpers,10,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,"Class 'TestBookingHelpers' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_bookings,Multifaceted abstraction,TestGetBookingsAPI,67,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,"Class 'TestGetBookingsAPI' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_bookings,Multifaceted abstraction,TestCreateBookingAPI,129,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,"Class 'TestCreateBookingAPI' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_bookings,Multifaceted abstraction,TestCancelBookingAPI,269,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,"Class 'TestCancelBookingAPI' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_shopping_component,Multifaceted abstraction,TestProductVariants,68,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py,"Class 'TestProductVariants' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_shopping_component,Multifaceted abstraction,TestHalifaxTimezone,237,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py,"Class 'TestHalifaxTimezone' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_shopping_component,Multifaceted abstraction,TestTimeParsing,283,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py,"Class 'TestTimeParsing' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_shopping_component,Multifaceted abstraction,TestShopStatusText,343,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py,"Class 'TestShopStatusText' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_shopping_component,Multifaceted abstraction,TestBookingWithVariants,459,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shopping_component.py,"Class 'TestBookingWithVariants' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_shops,Insufficient modularization,test_shops,1,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shops.py,"Module 'test_shops' is insufficiently modularized with NOPM: 43, WMC: 43, NOM: 43."
flask_app,flask_app.tests,test_shops,Multifaceted abstraction,test_shops,1,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_shops.py,"Class 'test_shops' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_integration,Multifaceted abstraction,TestGetShops,9,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py,"Class 'TestGetShops' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_integration,Multifaceted abstraction,TestGetShopById,162,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py,"Class 'TestGetShopById' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_integration,Multifaceted abstraction,TestShopItems,305,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py,"Class 'TestShopItems' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_integration,Multifaceted abstraction,TestItemById,374,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py,"Class 'TestItemById' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_integration,Multifaceted abstraction,TestPickupCodes,457,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py,"Class 'TestPickupCodes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_integration,Multifaceted abstraction,TestCreateBooking,525,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py,"Class 'TestCreateBooking' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_integration,Multifaceted abstraction,TestCancelBooking,571,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py,"Class 'TestCancelBooking' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_integration,Multifaceted abstraction,TestReservationExpiry,660,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py,"Class 'TestReservationExpiry' has a high LCOM value of 1, indicating it may have multiple responsibilities."
flask_app,flask_app.tests,test_integration,Multifaceted abstraction,TestStockManagement,680,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_integration.py,"Class 'TestStockManagement' has a high LCOM value of 1, indicating it may have multiple responsibilities."
